序號,標題,地址,價格,價格單位,房屋類型,格局,坪數,樓層,連結,抓取時間,可住人數,身份要求,緯度,經度,設施,冰箱,洗衣機,電視,冷氣,熱水器,床,衣櫃,第四台,網路WiFi,天然瓦斯,沙發,桌椅,陽台,電梯,車位,浴缸
3136,北投公館路大興街口平面式汽車停車位有車庫門有挑高遮雨棚,北投區-公館路,3500,元/月,車位,平面式,10坪,,https://rent.591.com.tw/21563257,2026-07-17 23:56:42,,,25.1306164,121.5046684,,,,,,,,,,,,,,,,,
3137,優質陽光美宅｜中山國小站,中山區-雙城街18巷,48000,元/月,整棟出租,3房2廳,30坪,3F/5F,https://rent.591.com.tw/21656619,2026-07-17 23:56:42,3人,上班族、家庭,25.0655117,121.5230179,冷氣、熱水器、衣櫃、天然瓦斯、桌椅,無,無,無,有,有,無,有,無,無,有,無,有,無,無,無,
3138,年繳有優惠#近芝山捷運站#膝蓋救星,士林區-福華路128巷3弄,13800,元/月,共用套房,,3坪,2F/2F,https://rent.591.com.tw/21656616,2026-07-17 23:56:42,1人,,25.1035337,121.5231729,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅,有,有,無,有,有,有,有,無,有,無,有,有,無,無,無,
3139,MRT雙連知名建案稀有四房出租,中山區-新生北路二段62巷,100000,元/月,整棟出租,4房2廳,49.1坪,7F/19F,https://rent.591.com.tw/21629600,2026-07-17 23:56:42,4人,學生、上班族、家庭,25.0560287,121.5270072,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3140,德行東路一層一戶稀有大坪數三+一房,士林區-德行東路331巷,150000,元/月,整棟出租,4房2廳,59.7坪,3F/12F,https://rent.591.com.tw/21519943,2026-07-17 23:56:42,4人,學生、上班族、家庭,25.1116048,121.5375066,冰箱、洗衣機、冷氣、熱水器、天然瓦斯、陽台、電梯,有,有,無,有,有,無,無,無,無,有,無,無,有,有,無,
3141,MRT市政府高樓層三房寵物可談,信義區-永吉路,60000,元/月,整棟出租,3房2廳,26.2坪,9F/14F,https://rent.591.com.tw/21627734,2026-07-17 23:56:42,3人,學生、上班族、家庭,25.0459011,121.5689435,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3142,🍎南京三民站🍎高樓景觀3房🍎全新家電🍎可報稅,松山區-八德路四段,75000,元/月,整棟出租,3房2廳,25.3坪,12F/13F,https://rent.591.com.tw/21656612,2026-07-17 23:56:44,3人,學生、上班族、家庭,25.0487001,121.5700733,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,,有,有,有,
3143,可租屋補助！台北車站！精美電梯套房！屋況漂亮！有代收垃圾,中正區-重慶南路一段,28000,元/月,私人套房,,7.9坪,14F/14F,https://rent.591.com.tw/21656598,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0446160,121.5133890,冰箱、洗衣機、冷氣、熱水器、電梯,有,有,無,有,有,無,無,無,無,無,無,無,無,有,無,
3144,🍎中山國小站🍎飯店式管理🍎採光2房,中山區-農安街6號,50000,元/月,整棟出租,2房1廳,12坪,7F/14F,https://rent.591.com.tw/21360789,2026-07-17 23:56:44,2人,上班族、家庭,25.0649490,121.5233000,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、陽台、電梯,有,有,有,有,有,有,有,無,無,無,有,,有,有,無,
3145,中央研究院舊莊溫馨屋屋主自租4樓蓋的3樓,南港區-舊莊街一段,27000,元/月,整棟出租,2房2廳,22坪,3F/4F,https://rent.591.com.tw/21503316,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0389609,121.6202709,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、天然瓦斯、桌椅、陽台、車位,有,有,有,有,有,有,有,有,有,有,無,有,有,無,有,
3146,高機能質感宅首選｜中山國小站,中山區-雙城街18巷,47000,元/月,整棟出租,3房2廳,30坪,4F/5F,https://rent.591.com.tw/21656568,2026-07-17 23:56:44,3人,上班族、家庭,,,冷氣、熱水器、衣櫃、天然瓦斯,無,無,無,有,有,無,有,無,無,有,無,無,無,無,無,
3147,中正區螢橋國小旁平面空地汽車停車位出租（重機可停）,中正區-詔安街50巷2弄,4000,元/月,車位,平面式,10坪,,https://rent.591.com.tw/21528502,2026-07-17 23:56:44,,,25.0256639,121.5144449,,,,,,,,,,,,,,,,,
3148,小南門站美三房設備齊全/可租補❤️,中正區-汀州路一段55號,36000,元/月,整棟出租,3房2廳,26.2坪,4F/4F,https://rent.591.com.tw/21656599,2026-07-17 23:56:44,3人,學生、上班族、家庭,25.0302425,121.5076998,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅,有,有,有,有,有,有,有,有,有,無,有,有,無,無,無,
3149,內科園區可租屋補助美麗華正大直捷運站旁超大窗採光,內湖區-內湖路一段,11800,元/月,私人套房,,5坪,2F/3F,https://rent.591.com.tw/21656578,2026-07-17 23:56:44,2人,,25.0823048,121.5673041,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、車位,有,有,有,有,有,有,有,有,有,無,有,有,無,無,有,
3150,捷運中山4分【優質2房1廳】可入籍★警衛管理★房皆有窗,大同區-承德路一段,30000,元/月,整棟出租,2房1廳,29坪,8F/12F,https://rent.591.com.tw/21656585,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0516880,121.5174336,冷氣、熱水器、衣櫃、電梯,無,無,無,有,有,無,有,無,無,無,無,無,無,有,無,
3151,內科南軟港華街大共用套房招租-近港墘站,內湖區-港華街,12500,元/月,共用套房,,6坪,4F/9F,https://rent.591.com.tw/21631502,2026-07-17 23:56:44,1人,上班族,25.0825563,121.5765548,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、沙發、桌椅、陽台,有,有,無,有,有,有,有,無,有,有,有,有,有,無,無,
3152,共用套房內湖行政中心民權東路六段及港華街共用套房,內湖區-民權東路六段90巷15弄,11500,元/月,共用套房,,5坪,5F/5F,https://rent.591.com.tw/21490215,2026-07-17 23:56:44,2人,上班族,25.0678610,121.5866440,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、網路WiFi、天然瓦斯、沙發、桌椅、陽台,有,有,無,有,有,有,有,無,有,有,有,有,有,無,無,
3153,海光公園【超值租案】可補助★採光優★低樓層,士林區-葫蘆街,9999,元/月,私人套房,,7坪,2F/3F,https://rent.591.com.tw/21656577,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.1255884,121.548418,冰箱、電視、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅,有,無,有,有,有,有,有,無,有,無,有,有,無,無,無,
3154,美樂*忠孝新生MRT*三創/光華商場*高樓1+1新屋齡首租,大安區-市民大道三段,39500,元/月,整棟出租,2房1廳,9.7坪,9F/13F,https://rent.591.com.tw/21637300,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0461872,121.5344689,洗衣機、冷氣、熱水器、床、天然瓦斯、沙發、陽台、電梯、車位,無,有,無,有,有,有,無,無,無,有,有,無,有,有,有,
3155,格局方正靜巷套房.近師大.,中正區-羅斯福路三段84巷12弄,13000,元/月,私人套房,,5坪,1F/4F,https://rent.591.com.tw/21583668,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0205531,121.5245532,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、桌椅、車位,有,有,有,有,有,有,有,有,有,無,無,有,無,無,有,
3156,美樂*近中山國中MRT*龍江路*有電梯*可報稅租補*限女*,中山區-龍江路,26999,元/月,共用套房,,10坪,5F/7F,https://rent.591.com.tw/21404500,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0589743,121.5406247,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,有,有,有,有,有,有,有,無,
3157,美樂*劍南路MRT*大直美麗華*有陽台*採光佳,中山區-北安路,29999,元/月,整棟出租,1房1廳,12.6坪,2F/14F,https://rent.591.com.tw/21643918,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0854762,121.5575126,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,無,有,無,有,有,有,
3158,美樂*小巨蛋/南京復興MRT*獨立門牌*有管理收垃圾*可租補,松山區-南京東路三段335巷,23999,元/月,整棟出租,1房1廳,10.3坪,6F/7F,https://rent.591.com.tw/21556878,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0526312,121.5475372,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,有,有,無,有,無,
3159,森林公園旁靜巷●絕美四房雙主臥獨立車庫,大安區-建國南路一段270巷,120000,元/月,整棟出租,4房2廳,70坪,1F/5F,https://rent.591.com.tw/21656572,2026-07-17 23:56:44,4人,學生、上班族、家庭,25.0355534,121.5356046,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,無,有,
3160,美樂*松江南京MRT*四平商圈*採光挑高四米五可站*機能佳,中山區-松江路77巷,30999,元/月,整棟出租,1房1廳,10.1坪,4F/11F,https://rent.591.com.tw/21625250,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0497140,121.5335118,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,有,有,無,有,無,
3161,美樂*雙連MRT*挑高可站**泳池社區*有浴缸*可租補,中山區-中山北路二段93巷,31499,元/月,整棟出租,1房1廳,12.9坪,11F/12F,https://rent.591.com.tw/21647893,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0593274,121.5235726,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,有,有,無,有,無,有
3162,美樂*信義安和MRT/世貿101*正2房採光佳*有電梯,信義區-基隆路一段380巷,36999,元/月,整棟出租,2房2廳,26.4坪,6F/12F,https://rent.591.com.tw/21642972,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0353888,121.5590079,冷氣、熱水器、衣櫃、天然瓦斯、陽台、電梯,無,無,無,有,有,無,有,無,無,有,無,無,有,有,無,
3163,🍎🍊專任獨家-西門町整層商辦-我是接案承辦人🍊,萬華區-中華路一段,180000,元/月,其他,3房2廳,100坪,7F/10F,https://rent.591.com.tw/21646464,2026-07-17 23:56:44,3人,,25.0452067,121.5100862,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,
3164,美樂*市政府MRT*1+1房*機能好*採光佳*近永吉路30巷,信義區-永吉路127巷11弄,33999,元/月,整棟出租,1房1廳,16.8坪,7F/8F,https://rent.591.com.tw/21626380,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0454866,121.5680410,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3165,美樂*古亭MRT*可租補*採光好通風佳*機能強*屋齡新,大安區-杭州南路二段61巷,33500,元/月,整棟出租,1房1廳,11.1坪,1F/8F,https://rent.591.com.tw/21625103,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0289749,121.5235978,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,有,有,無,有,有,有,有,無,
3166,美樂*中山國小MRT*精美挑高1房*有陽台*戶數少*可報稅,中山區-錦州街23巷,34999,元/月,整棟出租,1房1廳,15.9坪,3F/9F,https://rent.591.com.tw/21656447,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0617575,121.5257895,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯、車位,有,有,無,有,有,有,有,無,無,無,有,有,有,有,有,
3167,美樂*明德MRT*士林天母*正四房三衛浴*可租補*寵物友善,士林區-中山北路六段277巷4弄,34999,元/月,整棟出租,4房2廳,44.7坪,5F/5F,https://rent.591.com.tw/21448673,2026-07-17 23:56:44,4人,學生、上班族、家庭,25.1103090,121.5245240,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅,有,有,無,有,有,有,有,無,無,有,有,有,無,無,無,
3168,美樂*大安*六張犁MRT*平面正三房雙衛浴*可寵可租補*,大安區-安和路二段217巷,58999,元/月,整棟出租,3房2廳,34.9坪,4F/6F,https://rent.591.com.tw/21432526,2026-07-17 23:56:44,3人,學生、上班族、家庭,25.0266901,121.5516041,冰箱、洗衣機、冷氣、熱水器、衣櫃、天然瓦斯、沙發、桌椅、電梯,有,有,無,有,有,無,有,無,無,有,有,有,無,有,無,有
3169,美樂*中孝新生MRT*採光全新美2房*有陽台*華山文創,大安區-建國南路一段,49000,元/月,整棟出租,2房2廳,19.4坪,7F/15F,https://rent.591.com.tw/21560742,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0431905,121.5352777,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,有,有,有,無,有,無,
3170,美樂*信義*國父紀念館MRT*可住可辦*可稅籍可租補,信義區-仁愛路四段496巷,44999,元/月,整棟出租,1房2廳,34.2坪,7F/7F,https://rent.591.com.tw/21633896,2026-07-17 23:56:44,1人,學生、上班族、家庭,25.0375935,121.5599734,冷氣、熱水器、天然瓦斯、陽台、電梯,無,無,無,有,有,無,無,無,無,有,無,無,有,有,無,
3171,美樂*中山MRT*南西商圈*採光平面2房有陽台*機能好,中山區-南京西路,45999,元/月,整棟出租,2房2廳,20.5坪,8F/12F,https://rent.591.com.tw/21526216,2026-07-17 23:56:44,2人,學生、上班族、家庭,25.0531202,121.5229843,冰箱、洗衣機、冷氣、熱水器、衣櫃、桌椅、陽台、電梯,有,有,無,有,有,無,有,無,無,無,無,有,有,有,無,
3172,可租補!南港巴黎春天優質套房,南港區-南深路,19000,元/月,整棟出租,1房1廳,9.7坪,7F/10F,https://rent.591.com.tw/21596114,2026-07-17 23:56:46,1人,學生、上班族、家庭,25.0367641,121.6207962,冷氣、熱水器、陽台、電梯,無,無,無,有,有,無,無,無,無,無,無,無,有,有,無,
3173,鉑斯✨忠孝復興站✨短租✨東區✨全新飯店宅,大安區-復興南路一段,60000,元/月,私人套房,,13.3坪,7F/13F,https://rent.591.com.tw/21496266,2026-07-17 23:56:46,2人,,25.0377197,121.5434172,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、網路WiFi、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,有,無,有,有,有,有,有,
3174,🌤️MRT南京三民｜低調奢華美宅｜家具可討論,松山區-光復北路,80000,元/月,整棟出租,1房1廳,13.5坪,2F/23F,https://rent.591.com.tw/21562897,2026-07-17 23:56:46,1人,學生、上班族、家庭,25.0561948,121.5565688,冰箱、冷氣、熱水器、衣櫃、陽台、電梯、車位,有,無,無,有,有,無,有,無,無,無,無,無,有,有,有,
3175,🌤️MRT中山｜高樓採光2房｜出站即到家｜拎包入住,大同區-南京西路,70000,元/月,整棟出租,2房2廳,17.9坪,16F/19F,https://rent.591.com.tw/21645215,2026-07-17 23:56:46,2人,上班族、家庭,25.0550080,121.5149166,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3176,🌤️MRT士林｜社區高樓景觀3房｜TES｜拎包入住,士林區-文林路,85000,元/月,整棟出租,3房2廳,34坪,12F/15F,https://rent.591.com.tw/21575869,2026-07-17 23:56:46,3人,學生、上班族、家庭,25.1045709,121.5202612,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
3177,🌤️唭哩岸大空間4房車｜綠意環繞｜寧靜首選,北投區-致遠三路,110000,元/月,整棟出租,4房2廳,80坪,5F/5F,https://rent.591.com.tw/21626331,2026-07-17 23:56:46,4人,上班族、家庭,25.1210307,121.5094147,冷氣、熱水器、衣櫃、天然瓦斯、陽台、電梯、車位,無,無,無,有,有,無,有,無,無,有,無,無,有,有,有,
3178,🌤️MRT大安｜仁愛圓環｜雙主臥3+1房可車,大安區-信義路四段,90000,元/月,整棟出租,4房2廳,56.7坪,12F/20F,https://rent.591.com.tw/21645224,2026-07-17 23:56:48,4人,上班族、家庭,25.0341821,121.5516032,冷氣、熱水器、衣櫃、天然瓦斯、陽台、電梯、車位,無,無,無,有,有,無,有,無,無,有,無,無,有,有,有,
3179,🌤️MRT中山｜高樓採光2房｜出站即到家｜拎包入住,大同區-南京西路,70000,元/月,整棟出租,2房2廳,17.9坪,16F/19F,https://rent.591.com.tw/21650432,2026-07-17 23:56:48,2人,上班族、家庭,25.0550080,121.5149166,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3180,🌤️MRT石牌｜全新裝潢｜家庭首選｜高機能｜昇陽建設,北投區-裕民六路,63000,元/月,整棟出租,2房2廳,17.9坪,2F/18F,https://rent.591.com.tw/21650875,2026-07-17 23:56:48,2人,上班族、家庭,25.1132343,121.5164789,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3181,明德捷運站共用套房,北投區-建民路33號,12000,元/月,共用套房,,6坪,5F/5F,https://rent.591.com.tw/21656988,2026-07-17 23:56:48,1人,學生、上班族、家庭,25.1088094,121.5174614,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、桌椅,有,有,無,有,有,有,有,無,無,無,無,有,無,無,無,
3182,✅六張犁捷運漂亮✅漂亮超級大4房廚房大陽台✅生活機能好,大安區-安居街,65000,元/月,整棟出租,4房2廳,52坪,4F/7F,https://rent.591.com.tw/21545951,2026-07-17 23:56:48,4人,學生、上班族、家庭,25.0208190,121.5545430,天然瓦斯、陽台、電梯,無,無,無,無,無,無,無,無,無,有,無,無,有,有,無,
3183,✅中山站✅中山美學塔式車位✅轎車,大同區-南京西路18巷,3000,元/月,車位,機械式,2.1坪,,https://rent.591.com.tw/21575184,2026-07-17 23:56:48,,,25.0518631,121.5201784,,,,,,,,,,,,,,,,,
3184,鉑斯✅️信義安和✅️世貿101✅️高樓採光精美宅,大安區-光復南路,75000,元/月,整棟出租,2房2廳,30.7坪,12F/14F,https://rent.591.com.tw/21484417,2026-07-17 23:56:48,2人,學生、上班族、家庭,25.030018,121.557228,冰箱、洗衣機、冷氣、熱水器、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,無,有,有,無,有,無,無,有,有,有,有,有,無,
3185,中山*可租補報稅*免爬高*獨立陽台*採光通風,大同區-赤峰街8巷,25000,元/月,私人套房,,8坪,3F/5F,https://rent.591.com.tw/21656977,2026-07-17 23:56:48,2人,學生、上班族、家庭,25.0538495,121.5189472,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅、陽台,有,有,有,有,有,有,有,有,有,無,有,有,有,無,無,
3186,全新装潢天祥路美套,中山區-天祥路60巷,17000,元/月,整棟出租,1房0廳,6坪,5F/5F,https://rent.591.com.tw/21509747,2026-07-17 23:56:48,1人,,25.0632752,121.5217303,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、沙發,有,有,無,有,有,有,有,無,無,無,有,無,無,無,無,
3187,可租補不需服務費/民權西路站/兩房,大同區-昌吉街,20000,元/月,整棟出租,2房1廳,12坪,3F/5F,https://rent.591.com.tw/21656973,2026-07-17 23:56:48,2人,學生、上班族、家庭,25.0659901,121.516675,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、沙發、桌椅,有,有,無,有,有,有,有,無,無,無,有,有,無,無,無,
3188,捷運中山2分【優質租案】可補助★洗衣機★大空間,大同區-赤峰街,25799,元/月,私人套房,,14坪,3F/5F,https://rent.591.com.tw/21656971,2026-07-17 23:56:48,2人,學生、上班族、家庭,25.055639,121.519609,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、第四台、網路WiFi、沙發、桌椅,有,有,無,有,有,有,有,有,有,無,有,有,無,無,無,
3189,近捷運台電大樓【優質租案】可補助★獨洗衣機★雙面採光,大安區-泰順街,18800,元/月,私人套房,,14坪,6F/6F,https://rent.591.com.tw/21656961,2026-07-17 23:56:48,2人,學生、上班族、家庭,25.0240290,121.5312430,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、沙發、桌椅,有,有,無,有,有,有,有,無,無,無,有,有,無,無,無,
3190,可短租-最多可3人租補。近師大-捷運6分鐘,中正區-師大路,42000,元/月,整棟出租,3房1廳,23坪,2F/4F,https://rent.591.com.tw/21550531,2026-07-17 23:56:48,3人,學生、上班族,25.0211710,121.5244530,冰箱、洗衣機、電視、冷氣、熱水器、床、第四台、網路WiFi、天然瓦斯、沙發、桌椅、陽台,有,有,有,有,有,有,無,有,有,有,有,有,有,無,無,
3191,MRT市政府丨質感裝潢丨高樓採光佳丨地點超優,信義區-忠孝東路五段,90000,元/月,整棟出租,1房2廳,31.6坪,11F/13F,https://rent.591.com.tw/21656956,2026-07-17 23:56:48,1人,學生、上班族、家庭,25.0414570,121.5686774,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
3192,鉑斯😁松江南京站，魔術空間，質感套房✨,中山區-建國北路一段,26500,元/月,整棟出租,1房1廳,12.6坪,5F/14F,https://rent.591.com.tw/21655838,2026-07-17 23:56:48,1人,學生、上班族、家庭,25.0474641,121.536963,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,有,有,無,有,無,
3193,唭哩岸有車庫一樓,北投區-吉利街,38500,元/月,整棟出租,3房2廳,31坪,1F/5F,https://rent.591.com.tw/17876564,2026-07-17 23:56:48,3人,,25.1198968,121.5104144,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、桌椅、陽台,有,有,有,有,有,有,有,無,無,有,無,有,有,無,無,
3194,MRT中山國中丨機能完善丨可寵,松山區-敦化北路222巷,65000,元/月,整棟出租,3房2廳,37.9坪,2F/7F,https://rent.591.com.tw/21656950,2026-07-17 23:56:48,3人,學生、上班族、家庭,25.059593,121.548174,冰箱、洗衣機、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,無,有,有,有,有,無,無,有,有,有,有,有,無,
3195,🎈捷運芝山站🎈國揚天母面公園樹海景觀尊榮３房可另租車位,士林區-中山北路六段,100000,元/月,整棟出租,3房2廳,31坪,4F/13F,https://rent.591.com.tw/21650899,2026-07-17 23:56:48,3人,學生、上班族、家庭,25.1030317,121.5238247,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3196,捷運內湖【超值租案】有陽台★皆有窗★附傢俱,內湖區-康寧路一段,36000,元/月,整棟出租,3房2廳,29坪,4F/5F,https://rent.591.com.tw/21656941,2026-07-17 23:56:48,3人,學生、上班族、家庭,25.0798272,121.5904416,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台,有,有,有,有,有,有,有,無,無,無,有,有,有,無,無,
3197,捷運中山國小30秒【優質租案】警衛管理★可報稅★精緻裝潢,中山區-民權東路一段,39499,元/月,私人套房,,13坪,3F/12F,https://rent.591.com.tw/21656931,2026-07-17 23:56:48,2人,學生、上班族、家庭,25.0622931,121.5243273,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、電梯,有,有,有,有,有,有,有,無,無,無,有,有,無,有,無,
3198,專任ER131603新光三越✫裝潢美房✫3房2衛,士林區-天母東路50巷,50000,元/月,整棟出租,3房2廳,35坪,2F/8F,https://rent.591.com.tw/21656927,2026-07-17 23:56:48,3人,,25.1168566,121.5326476,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,有,有,有,有,有,無,
3199,🚗信義區｜基隆路二段｜機械車位出租,信義區-基隆路二段133號,3200,元/月,車位,機械式,5坪,,https://rent.591.com.tw/21656643,2026-07-17 23:56:48,,,25.0278302,121.5567018,,,,,,,,,,,,,,,,,
3200,全新建案向陽上冠飯店級住家,中正區-漢口街一段,55000,元/月,整棟出租,2房2廳,20坪,9F/15F,https://rent.591.com.tw/21511879,2026-07-17 23:56:48,2人,學生、上班族、家庭,25.0462714,121.5132735,冰箱、洗衣機、冷氣、熱水器、床、天然瓦斯、沙發、陽台、電梯,有,有,無,有,有,有,無,無,無,有,有,無,有,有,無,
3201,中山全新建案優質尊爵住家,中山區-林森北路67巷,88000,元/月,整棟出租,4房2廳,33坪,2F/9F,https://rent.591.com.tw/21511875,2026-07-17 23:56:48,4人,上班族、家庭,25.0486275,121.5284334,熱水器、天然瓦斯、陽台、電梯、車位,無,無,無,無,有,無,無,無,無,有,無,無,有,有,有,
3202,中山全新建案精緻高樓住宅,中山區-林森北路67巷,85000,元/月,整棟出租,3房2廳,28坪,9F/9F,https://rent.591.com.tw/21511863,2026-07-17 23:56:48,3人,上班族、家庭,25.0488032,121.5285674,熱水器、天然瓦斯、陽台、車位,無,無,無,無,有,無,無,無,無,有,無,無,有,無,有,
3203,星鴻🌞文山木柵採光三房｜生活機能佳｜未來捷運站,文山區-木柵路二段109巷25弄,26000,元/月,整棟出租,3房1廳,25坪,3F/4F,https://rent.591.com.tw/21656427,2026-07-17 23:56:50,3人,學生、上班族、家庭,24.990458,121.562155,冷氣、熱水器、天然瓦斯、陽台,無,無,無,有,有,無,無,無,無,有,無,無,有,無,無,
3204,中山｜全新精裝*大陸建設*稀有釋出,中山區-中山北路一段33巷,125000,元/月,整棟出租,3房2廳,55.1坪,3F/23F,https://rent.591.com.tw/21648943,2026-07-17 23:56:50,3人,學生、上班族、家庭,25.0481288,121.5215155,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、天然瓦斯、沙發、桌椅、陽台、電梯、車位,有,有,有,有,有,有,有,無,無,有,有,有,有,有,有,
3205,北車/全新落成雙主臥/首租第一手入住,大同區-承德路一段,180000,元/月,整棟出租,3房2廳,70.2坪,14F/32F,https://rent.591.com.tw/21584888,2026-07-17 23:56:50,3人,學生、上班族、家庭,25.0497833,121.5162993,冷氣、熱水器、天然瓦斯、陽台、電梯、車位,無,無,無,有,有,無,無,無,無,有,無,無,有,有,有,
3206,中山捷運北歐風精品二房★雙鐵樞紐,大同區-承德路一段,130000,元/月,整棟出租,2房2廳,42.9坪,11F/14F,https://rent.591.com.tw/21564330,2026-07-17 23:56:50,2人,學生、上班族、家庭,25.0541348,121.5184669,冰箱、洗衣機、電視、冷氣、熱水器、床、衣櫃、沙發、桌椅、陽台、電梯,有,有,有,有,有,有,有,無,無,無,有,有,有,有,無,
